YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2004,40,1860,0,0,5,0,3,4,0,0.645161
2004,41,2154,0,0,10,0,3,1,0,0.649954
2004,42,2412,0,0,16,0,12,11,0,1.61692
2004,43,2620,0,0,13,0,12,7,0,1.22137
2004,44,2771,0,0,19,0,10,16,0,1.62396
2004,45,3074,0,0,28,0,10,24,0,2.01692
2004,46,3310,0,0,41,0,30,21,0,2.77946
2004,47,3111,0,0,18,0,22,21,0,1.96078
2004,48,3826,0,0,65,0,40,32,0,3.58076
2004,49,3846,0,0,88,0,73,32,0,5.0182
2004,50,4359,1,0,114,0,126,45,0,6.56114
2004,51,4509,1,0,186,0,290,54,0,11.7764
2004,52,5807,0,0,340,0,510,123,0,16.7556
2005,1,6921,2,0,405,0,712,166,0,18.5667
2005,2,6646,2,0,308,0,634,182,0,16.9425
2005,3,6948,2,0,377,0,892,212,0,21.3443
2005,4,8010,1,0,514,0,1045,306,0,23.2959
2005,5,8654,0,0,687,0,1214,424,0,26.8662
2005,6,9684,2,0,640,0,1451,478,0,26.5489
2005,7,10586,2,0,692,0,1398,613,0,25.5526
2005,8,9710,1,0,524,0,1135,618,0,23.4604
2005,9,8511,0,0,228,0,950,520,0,19.9507
2005,10,7580,0,0,163,0,635,418,0,16.0422
2005,11,6540,0,0,148,0,489,471,0,16.9419
2005,12,5928,0,0,103,0,303,463,0,14.6592
2005,13,5134,3,0,54,0,167,343,0,11.044
2005,14,3894,0,0,47,0,96,212,0,9.11659
2005,15,3339,0,0,14,0,39,123,0,5.27104
2005,16,2933,1,0,21,0,26,75,0,4.19366
2005,17,2570,0,0,12,0,15,42,0,2.68482
2005,18,2250,0,0,10,0,8,33,0,2.26667
2005,19,2136,0,0,13,0,5,19,0,1.73221
2005,20,1889,0,0,20,0,3,16,0,2.06458
2005,21,1809,0,0,9,0,3,19,0,1.71365
2005,22,1682,0,0,5,0,3,15,0,1.36742
2005,23,1576,0,0,4,0,0,8,0,0.761421
2005,24,1514,0,0,3,0,2,10,0,0.990753
2005,25,1229,0,0,5,0,1,5,0,0.895037
2005,26,1215,0,0,0,0,6,1,0,0.576132
2005,27,1073,0,0,1,0,0,4,0,0.465983
2005,28,991,0,0,0,0,0,2,0,0.201816
2005,29,983,0,0,0,0,1,2,0,0.305188
2005,30,1124,0,0,1,0,0,1,0,0.177936
2005,31,1018,0,0,0,0,0,0,0,0
2005,32,964,0,0,3,0,1,0,0,0.414938
2005,33,989,1,0,0,0,5,0,0,0.606673
2005,34,1016,0,0,2,0,2,0,0,0.393701
2005,35,1054,0,0,2,0,3,1,0,0.56926
2005,36,1031,0,0,1,0,0,0,0,0.0969932
2005,37,1099,0,0,4,0,0,1,0,0.454959
2005,38,1280,0,0,2,0,0,0,0,0.15625
2005,39,1421,0,0,2,0,4,1,0,0.492611
