YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2006,40,2309,13,0,2,0,26,15,0,2.42529
2006,41,2502,20,0,1,0,37,9,0,2.67786
2006,42,2900,17,0,4,0,37,22,0,2.75862
2006,43,3237,13,0,2,0,46,23,0,2.595
2006,44,3765,25,0,1,0,75,42,0,3.79814
2006,45,4262,18,0,1,0,93,43,0,3.63679
2006,46,4525,25,0,2,0,74,32,0,2.93923
2006,47,4538,21,0,2,0,110,28,0,3.54782
2006,48,5642,43,0,1,0,111,54,0,3.70436
2006,49,5805,55,0,2,0,145,62,0,4.5478
2006,50,6686,106,0,9,0,306,120,0,8.09153
2006,51,7083,194,0,10,0,392,133,0,10.2922
2006,52,6777,201,0,14,0,366,123,0,10.3881
2007,1,6711,128,0,14,0,240,86,0,6.97363
2007,2,6430,180,0,35,0,293,86,0,9.23795
2007,3,6200,174,0,44,0,420,80,0,11.5806
2007,4,7200,310,0,86,0,760,154,0,18.1944
2007,5,8261,367,0,107,0,1172,203,0,22.3823
2007,6,8986,497,0,133,0,1491,411,0,28.1772
2007,7,9780,430,0,133,0,1544,416,0,25.7975
2007,8,9947,297,0,156,0,1388,526,0,23.7961
2007,9,8634,201,0,192,0,1006,550,0,22.5735
2007,10,7848,169,0,199,0,751,470,0,20.2472
2007,11,6928,147,0,207,0,569,430,0,19.5294
2007,12,6460,65,0,165,0,491,369,0,16.8731
2007,13,5558,59,0,173,0,322,211,0,13.7639
2007,14,4698,33,0,101,0,228,156,0,11.026
2007,15,4243,31,0,186,0,158,140,0,12.1376
2007,16,3857,28,0,126,0,138,81,0,9.67073
2007,17,3015,21,0,119,0,86,68,0,9.75124
2007,18,3006,15,0,81,0,51,56,0,6.75316
2007,19,2531,7,0,38,0,43,38,0,4.97827
2007,20,2341,3,0,23,0,39,27,0,3.92994
2007,21,1944,4,0,32,0,34,14,0,4.32099
2007,22,1696,2,0,7,0,12,9,0,1.76887
2007,23,1670,1,0,5,0,10,4,0,1.1976
2007,24,1529,0,0,6,0,13,7,0,1.70046
2007,25,1300,3,0,1,0,2,2,0,0.615385
2007,26,1278,0,0,1,0,10,4,0,1.17371
2007,27,1121,2,0,3,0,8,5,0,1.60571
2007,28,1195,4,0,8,0,9,2,0,1.92469
2007,29,1154,4,0,3,0,8,1,0,1.38648
2007,30,1165,14,0,7,0,14,2,0,3.17597
2007,31,1217,2,0,6,0,14,2,0,1.97206
2007,32,1157,11,0,5,0,14,4,0,2.93863
2007,33,1120,7,0,2,0,10,0,0,1.69643
2007,34,1170,1,0,0,0,21,1,0,1.96581
2007,35,1204,10,0,0,0,13,7,0,2.49169
2007,36,1093,10,0,0,0,14,0,0,2.19579
2007,37,1228,14,0,1,0,8,7,0,2.443
2007,38,954,11,0,1,0,15,3,0,3.14465
2007,39,1052,3,0,1,0,16,0,0,1.90114
