YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2005,40,1894,0,0,6,0,4,1,0,0.580781
2005,41,2191,0,0,6,0,4,2,0,0.547695
2005,42,2349,0,0,12,0,8,5,0,1.06428
2005,43,2780,0,0,6,0,6,2,0,0.503597
2005,44,2890,0,0,13,0,7,3,0,0.795848
2005,45,3320,1,0,21,0,14,7,0,1.29518
2005,46,3861,2,0,18,0,23,4,0,1.2173
2005,47,3268,0,0,19,0,30,3,0,1.59119
2005,48,4056,1,0,57,0,56,2,0,2.85996
2005,49,3863,1,0,126,0,79,8,0,5.53974
2005,50,4618,0,0,269,0,125,5,0,8.6401
2005,51,5418,1,0,296,0,383,11,0,12.7538
2005,52,5829,2,0,336,0,425,23,0,13.4843
2006,1,6417,1,0,259,0,468,24,0,11.7189
2006,2,6378,4,0,297,0,520,22,0,13.2173
2006,3,6255,4,0,285,0,565,29,0,14.1167
2006,4,6732,4,0,308,0,714,33,0,15.7308
2006,5,7029,6,0,314,0,779,74,0,16.688
2006,6,7226,9,0,321,0,825,142,0,17.9491
2006,7,8105,17,0,372,0,1013,184,0,19.5682
2006,8,7948,16,0,364,0,1003,242,0,20.4454
2006,9,7978,29,0,435,0,942,396,0,22.5871
2006,10,7819,54,0,411,0,881,408,0,22.4325
2006,11,6995,40,0,276,0,624,441,0,19.7427
2006,12,6444,79,0,181,0,498,432,0,18.4668
2006,13,5424,63,0,134,0,340,438,0,17.9757
2006,14,4459,38,0,53,0,202,312,0,13.5681
2006,15,4032,24,0,51,0,142,241,0,11.3591
2006,16,3499,24,0,30,0,74,218,0,9.88854
2006,17,2675,10,0,2,0,53,135,0,7.47664
2006,18,2516,7,0,7,0,53,128,0,7.7504
2006,19,2453,12,0,0,0,49,116,0,7.21565
2006,20,2399,6,0,1,0,41,87,0,5.62734
2006,21,2058,9,0,0,0,28,93,0,6.31681
2006,22,1663,9,0,0,0,19,50,0,4.69032
2006,23,1444,9,0,0,0,8,38,0,3.80886
2006,24,1267,3,0,0,0,11,11,0,1.97316
2006,25,1178,2,0,0,0,2,10,0,1.18846
2006,26,1017,3,0,1,0,2,6,0,1.17994
2006,27,907,2,0,0,0,4,2,0,0.882029
2006,28,914,0,0,1,0,6,0,0,0.765864
2006,29,917,0,0,0,0,9,2,0,1.19956
2006,30,863,6,0,1,0,8,2,0,1.96987
2006,31,943,3,0,0,0,16,1,0,2.12089
2006,32,899,1,0,0,0,9,2,0,1.33482
2006,33,862,3,0,0,0,7,2,0,1.39211
2006,34,898,3,0,0,0,9,3,0,1.67038
2006,35,907,5,0,0,0,8,4,0,1.87431
2006,36,881,5,0,0,0,8,0,0,1.4756
2006,37,1067,13,0,0,0,17,1,0,2.90534
2006,38,996,22,0,0,0,11,2,0,3.51406
2006,39,971,13,0,0,0,13,3,0,2.98661
